user,date,label,amount,category,recurring,is_anomaly,anomaly_type
user_0,2024-01-02 00:00:00,CASINO SUPERMARCHE 15,58.53,Groceries,False,False,none
user_0,2024-01-03 00:00:00,LOYER APPARTEMENT,1086.65,Housing,True,False,none
user_0,2024-01-03 00:00:00,CB INTERMARCHE,36.06,Groceries,False,False,none
user_0,2024-01-03 00:00:00,APPLE STORE,1474.8,Shopping,False,True,wrong_category
user_0,2024-01-03 00:00:00,ESSO STATION,69.6,Transport,False,False,none
user_0,2024-01-03 00:00:00,PHARMACIE 12,1.4,Health,False,False,none
user_0,2024-01-05 00:00:00,ABONNEMENT SALLE SPORT,42.69,Leisure,True,False,none
user_0,2024-01-05 00:00:00,LECLERC,43.83,Groceries,False,False,none
user_0,2024-01-05 00:00:00,BOULANGERIE PAUL SAINTE CAMILLEBOEUF,7.83,Restaurants,False,False,none
user_0,2024-01-05 00:00:00,SHEIN,50.21,Shopping,False,False,none
user_0,2024-01-08 00:00:00,EDF ELECTRICITE,138.12,Utilities,True,False,none
user_0,2024-01-09 00:00:00,DOCTOLIB,33.67,Health,False,False,none
user_0,2024-01-11 00:00:00,AUCHAN,73.05,Groceries,False,False,none
user_0,2024-01-12 00:00:00,ORANGE MOBILE,52.78,Utilities,True,False,none
user_0,2024-01-12 00:00:00,MONOPRIX HENRY,40.12,Groceries,False,False,none
user_0,2024-01-13 00:00:00,BOULANGERIE PAUL,41.26,Restaurants,False,False,none
user_0,2024-01-13 00:00:00,BLABLACAR 18,75.7,Transport,False,False,none
user_0,2024-01-13 00:00:00,AMAZON PRIME 15,32.47,Leisure,False,False,none
user_0,2024-01-15 00:00:00,ASSURANCE MAAF,54.96,Insurance,True,False,none
user_0,2024-01-15 00:00:00,LIDL,39.02,Groceries,False,False,none
user_0,2024-01-15 00:00:00,MONOPRIX MOULIN,84.57,Groceries,False,False,none
user_0,2024-01-16 00:00:00,AUCHAN SAINT NICOLASVILLE,38.84,Groceries,False,False,none
user_0,2024-01-16 00:00:00,LIDL ROCHER,74.88,Groceries,False,False,none
user_0,2024-01-17 00:00:00,BLABLACAR SAINT MARGAUD-SUR-MER,62.36,Transport,False,False,none
user_0,2024-01-17 00:00:00,SNCF INTERNET,25.75,Transport,False,False,none
user_0,2024-01-18 00:00:00,CB UBER EATS,44.0,Restaurants,False,False,none
user_0,2024-01-19 00:00:00,CB LECLERC,53.01,Groceries,False,False,none
user_0,2024-01-20 00:00:00,LABORATOIRE BIO 09,29.21,Health,False,False,none
user_0,2024-01-20 00:00:00,ZALANDO,1.75,Shopping,False,False,none
